Nmean,Nvar,Nmax,Nmin,Nmed,Nsum,Nprod,Field size (ha),"Rice Crop Intensity(D=Double, T=Triple)",Rice Yield (kg/ha),RVImean,RVIvar,RVImax,RVImin,RVImed,RVIsum,RVIprod
0.3887647505178206,0.0256427706580621,0.5700867767187541,0.0626841020175984,0.4613391081446786,8.552824511392053,3.7622489044364905e-11,3.4,3,5500,0.7470287194736842,0.1353499583394319,1.2987039,0.11373492,0.7397997,14.19354567,0.0001309615799576
0.3806742807511131,0.0258033861759817,0.5563708038277855,0.0578646751267647,0.4105014787852588,8.37483417652449,1.9228809788242318e-11,2.43,3,6000,0.6262560705263156,0.0084349476980882,0.8170689,0.48413607,0.6237107,11.898865339999997,0.0001133909025676
0.3367230006491708,0.0210587694184884,0.5039382362434267,0.1389222079813424,0.3294972028158237,7.4079060142817585,3.860229622404606e-12,1.95,2,6400,0.7774093026315788,0.1270943211461778,1.2987096,0.1799153,0.92379034,14.770776749999998,0.0003493740598536
0.3571084698547193,0.0280153075932106,0.5523164896225178,0.0660512550788673,0.4140579222361408,7.856386336803824,4.055904628349314e-12,4.3,3,6000,0.755394327368421,0.1231269071619245,1.3526894,0.20250538,0.7810114,14.35249222,0.0003780219284474
0.3881414340332405,0.015872672117775,0.5805947641402913,0.2317763271486291,0.3628669218200345,8.53911154873129,2.8469424407383577e-10,3.3,2,6400,0.6142796115789473,0.1111593173709112,1.3161207,0.15528049,0.6239821,11.671312619999998,3.578778405452419e-06
0.3694205466290148,0.0223400558738517,0.5420201031926971,0.1493996530597931,0.4484919568324103,8.127252025838327,3.1141712350346017e-11,3.5,3,5500,0.7047102626315789,0.0594522261402903,1.1945665,0.36907652,0.65989643,13.38949499,0.000427483237507
0.3244489503618502,0.0343554527197062,0.5678979424694311,0.0666924222868063,0.3516857628607021,7.137876907960705,1.4426905732528361e-13,2.0,3,6600,0.7578339184210525,0.0808610850345978,1.173925,0.3510929,0.8052625,14.39884445,0.0011334567823897
0.3179193679225903,0.0380575521865061,0.5470424640350174,0.0527989742004024,0.3581007216969377,6.994226094296987,2.7380754700995832e-14,4.0,3,6000,0.7521920673684211,0.1564529605833899,1.3560013,0.14973108,0.8012878,14.29164928,0.0001444807556395
0.3828964411800425,0.0237486635394034,0.5485152847077296,0.1155601976456356,0.4143164198412156,8.423721705960936,6.121121107065267e-11,3.0,3,5500,0.7379506205263159,0.0905434137137831,1.344922,0.19873881,0.7122606,14.02106179,0.0005248951998523
0.3557045623944749,0.0207561556427533,0.5386271411410053,0.1015952646462259,0.3993833288970948,7.825500372678449,1.2141500742289179e-11,5.0,3,6000,0.8033700426315789,0.0691569376966564,1.074435,0.13341998,0.922984,15.264030809999998,0.0026778487542621
0.3616239173970297,0.0347094697657843,0.5492949674809752,-0.0294995974966891,0.4438813185167751,7.955726182734655,-1.3608556488521028e-12,4.0,3,5500,0.6630462921052632,0.0880504391298134,1.1918278,0.10018092,0.7283633,12.597879550000002,2.191605198002645e-05
0.3499411953934684,0.0216159806722348,0.524709908835053,0.1051687642239861,0.4067332957942214,7.6987062986563055,6.012605145999271e-12,3.5,3,6500,0.6348931210526315,0.0920328280523436,1.0786898,0.1565942,0.6824241,12.0629693,1.032574202318694e-05
0.3845197978525524,0.0207075931187718,0.5270227416528551,0.0663013698630136,0.4498936947132634,8.459435552756153,5.958562153772637e-11,2.03,3,5500,0.7700081678947368,0.0897935676529029,1.1819583,0.15732996,0.8735485,14.63015519,0.0007985590790211
0.334318910708654,0.019937194351142,0.4758045860577283,-0.007358039049046,0.3833920713346808,7.355016035590389,-3.783336658333225e-13,2.8,3,5500,0.7849445242105264,0.0959712982772117,1.3750024,0.18015012,0.7698477,14.91394596,0.0013536683367104
0.3359862748115415,0.0304559793400529,0.6249957281801136,-0.1031145790196377,0.321559094677891,7.391698045853913,-5.5087800428727904e-12,2.0,3,6500,0.7271584157894736,0.0752322208675991,1.3396021,0.16693352,0.7082279,13.8160099,0.0003959873892809
