ndvi1,ndvi2,ndvi3,ndvi4,ndvi5,ndvi6,ndvi7,ndvi8,ndvi9,ndvi10,ndvi11,ndvi12,ndvi13,ndvi14,ndvi15,ndvi16,ndvi17,ndvi18,ndvi19,ndvi20,ndvi21,ndvi22,ndvi23
,0.3767912358998359,0.37884804425069896,0.49882616064632496,,0.5438155202915934,0.5359787954590293,,0.5700867767187541,0.5052288934993372,,,,,0.4564624653274943,0.33410982609921464,0.28473461151291546,,,0.14165589301369694,0.06268410201759847,,
,0.4089013362350975,0.41210162133542,0.5303636816037733,,0.5563708038277855,0.5310822928964439,0.5312292339796998,,0.5046871845180245,,,,,0.37513742359716284,0.20678923179114664,0.4019868775914943,,,0.0578646751267647,0.08429612843665164,,
0.22402073953009993,0.46509332757329497,0.5039382362434267,0.4905453658641139,,0.5000478979789323,0.5018232195150283,,0.47144539948766506,0.47120327526789224,,,0.30115598832541013,0.29689133019953556,,,0.18878917174178653,,,0.1431738839463039,0.13892220798134242,,
,0.509067491612881,0.4960262671384046,0.5475300799919445,0.41893278052349564,0.5523164896225178,0.5369835944174609,0.45671617685272636,0.2966115691412196,0.5055345803739317,,,,,0.3449487196653555,,0.17599756320438623,,,0.06605125507886737,0.11855685888552736,,
0.3837668256491786,0.49488994245372453,0.35724665770656727,0.5440070290876222,,0.5393001400520439,0.5294289259504564,,0.5805947641402913,0.48952803306861453,,,0.3079667623659455,,0.35453003892734203,,0.25028898934672955,,,0.2317763271486291,0.23295182825267047,,
,0.4848284140180364,0.4435324694044779,0.4667923261808914,,0.4855649045745711,0.4914776209625111,,,0.5420201031926971,,,,,0.3205984558618109,0.1613424787225858,0.16437818688061176,,,0.19189885068997153,0.1493996530597931,,
0.21200443181270776,0.5327368929854841,0.5058082620293161,0.54865639396034,0.4462128990735612,0.5678979424694311,0.5328808520108531,0.4182867569905251,0.542498442653688,0.49432952127075863,,,,,0.20904200445064564,0.06669242228680639,0.12658709556415115,,,0.07656502550530708,0.1238913961924324,,
,0.5455351143417109,0.5141643534789181,0.5347075727900499,0.39889205399662125,0.5470424640350174,0.5258390852157714,0.3635962071208921,0.5180164475877909,0.48656623300618435,,,,,0.15166374117318207,0.12094547492923728,0.08244068619908883,,,0.05279897420040241,0.0973914815610933,,
,0.5202671736082176,0.544411755132312,0.5265169437467981,,0.5380922348908298,0.5162784688348498,0.3493961364801947,0.5485152847077296,,,,0.37091728298346016,0.3282416325147726,0.4133160562679037,,0.25307014413101825,,,0.1155601976456356,0.13279716928864224,,
,0.45932398846512246,0.5386271411410053,0.5005656849129076,,0.49593276136956793,0.4883224843481758,,0.48420564246029796,0.36381642035830475,,,0.4349502374358849,0.3001101128401983,,0.24248950388886303,0.27529132128987555,,,0.10159526464622598,0.12473974120829989,,
